,instant,Date of the ride,season,holiday,weekday,Weather situation,temp,atemp,Relative humidity,windspeed,Non-registered user rentals,Registered user rentals,Total Rentals
166,167,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1667,74 %,0.1642,0,5,5
167,168,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1667,74 %,0.1642,0,2,2
168,169,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1818,74 %,0.1045,1,8,9
169,170,08-01-2011,Spring,Not a Holiday,Working day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1818,93 %,0.1045,0,15,15
170,171,08-01-2011,Spring,Not a Holiday,Working day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1818,93 %,0.1045,0,20,20
171,172,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,80 %,0.1642,5,56,61
172,173,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,69 %,0.3881,2,60,62
173,174,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,59 %,0.3582,8,90,98
174,175,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,44 %,0.3284,7,95,102
175,176,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,32 %,0.4925,12,83,95
176,177,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,32 %,0.4478,5,69,74
177,178,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1364,28 %,0.4478,8,68,76
178,179,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1212,37 %,0.5522,5,64,69
179,180,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,39 %,0.2985,3,52,55
180,181,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,36 %,0.2537,4,26,30
181,182,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,36 %,0.2537,0,28,28
182,183,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1061,39 %,0.3582,2,35,37
183,184,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1061,36 %,0.3881,1,33,34
184,185,08-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0606,39 %,0.4478,0,22,22
185,186,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0758,42 %,0.3881,1,24,25
186,187,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0606,42 %,0.4627,0,12,12
187,188,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0606,46 %,0.4627,0,11,11
188,189,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0758,46 %,0.4179,0,4,4
189,190,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 8 degree celsius,0.0909,53 %,0.194,0,1,1
190,191,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 8 degree celsius,0.0909,53 %,0.194,0,1,1
191,192,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0909,49 %,0.2836,0,1,1
192,193,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 8 degree celsius,0.0909,53 %,0.194,1,5,6
193,194,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.0909,49 %,0.2836,0,10,10
194,195,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.0758,46 %,0.5224,0,19,19
195,196,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1061,43 %,0.3881,0,49,49
196,197,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1212,40 %,0.5224,2,47,49
197,198,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1364,37 %,0.4478,4,79,83
198,199,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,34 %,0.4478,6,69,75
199,200,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.1818,32 %,0.4627,8,64,72
200,201,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,35 %,0.3582,5,77,82
201,202,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,34 %,0.4478,13,79,92
202,203,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1515,37 %,0.3881,3,59,62
203,204,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,40 %,0.3284,4,44,48
204,205,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,43 %,0.3284,1,40,41
205,206,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,46 %,0.2537,0,38,38
206,207,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1061,46 %,0.4179,1,19,20
207,208,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,46 %,0.2985,5,10,15
208,209,09-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1364,50 %,0.194,0,6,6
209,210,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2836,2,3,5
210,211,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2836,1,0,1
211,212,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2239,0,3,3
212,213,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2239,0,1,1
213,214,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1212,54 %,0.1343,1,2,3
214,215,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1061,54 %,0.2537,0,3,3
215,216,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2836,0,31,31
216,217,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1212,50 %,0.2239,2,75,77
218,219,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 14 degree celsius,0.1212,50 %,0.2537,2,92,94
219,220,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 14 degree celsius,0.1212,50 %,0.2985,0,31,31
220,221,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1364,47 %,0.2836,2,28,30
221,222,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,40 %,0.2836,5,47,52
222,223,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,40 %,0.2836,4,50,54
223,224,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,40 %,0.2239,0,47,47
224,225,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,40 %,0.2239,2,43,45
225,226,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2121,40 %,0.1343,4,70,74
226,227,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2273,40 %,0.1045,4,174,178
228,229,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1667,47 %,0.1642,3,92,95
229,230,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1667,50 %,0.1642,1,73,74
230,231,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1364,59 %,0.194,1,37,38
231,232,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,59 %,0.1642,2,22,24
232,233,10-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,59 %,0.1642,0,18,18
233,234,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1667,59 %,0.1045,2,10,12
234,235,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,59 %,0.1642,0,3,3
235,236,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,55 %,0.194,0,3,3
237,238,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1818,55 %,0.1343,0,27,27
238,239,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.2273,55 %,0.0,2,97,99
240,241,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,51 %,0.1642,3,127,130
241,242,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,51 %,0.1642,3,51,54
242,243,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,47 %,0.1343,4,31,35
243,244,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2273,51 %,0.1045,2,55,57
244,245,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2273,59 %,0.0896,6,46,52
245,246,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2273,59 %,0.0896,3,60,63
246,247,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.197,80 %,0.0896,2,45,47
247,248,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,86 %,0.2239,4,72,76
248,249,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1515,86 %,0.2239,6,130,136
249,250,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1818,93 %,0.1045,1,94,95
250,251,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.2273,93 %,0.0,0,51,51
252,253,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.197,86 %,0.0896,0,20,20
253,254,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.1818,93 %,0.1045,1,28,29
254,255,11-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 16 degree celsius,0.197,93 %,0.0896,1,18,19
255,256,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.197,86 %,0.0896,0,7,7
256,257,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1818,86 %,0.1045,0,6,6
257,258,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,86 %,0.1343,0,1,1
258,259,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,86 %,0.1642,0,5,5
259,260,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,93 %,0.1343,0,16,16
260,261,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,69 %,0.1343,0,54,54
261,262,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1667,59 %,0.1642,3,125,128
262,263,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,59 %,0.3284,3,78,81
263,264,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1818,55 %,0.2239,0,39,39
264,265,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,51 %,0.3881,3,32,35
265,266,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1515,47 %,0.5821,3,52,55
266,267,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,44 %,0.3582,0,49,49
267,268,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,47 %,0.3284,0,44,44
268,269,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,47 %,0.4179,1,48,49
269,270,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,44 %,0.3284,5,63,68
270,271,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,47 %,0.3582,0,139,139
271,272,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1515,47 %,0.5224,2,135,137
272,273,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1515,47 %,0.4179,1,82,83
273,274,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,50 %,0.3284,2,54,56
275,276,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1212,55 %,0.4478,1,32,33
276,277,12-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1061,59 %,0.4179,1,19,20
277,278,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,59 %,0.2836,1,6,7
278,279,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.2836,0,2,2
279,280,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.3582,0,2,2
280,281,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.3284,0,3,3
281,282,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.2537,0,4,4
282,283,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.2985,0,3,3
283,284,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,54 %,0.1343,0,28,28
284,285,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,54 %,0.1343,0,72,72
286,287,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.3284,2,137,139
287,288,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1364,50 %,0.3582,2,36,38
288,289,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1667,44 %,0.4478,4,33,37
289,290,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1667,44 %,0.4179,3,49,52
290,291,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,41 %,0.4478,2,81,83
291,292,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,41 %,0.3881,3,39,42
292,293,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2121,38 %,0.2985,5,55,60
293,294,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2121,38 %,0.3582,2,76,78
294,295,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,40 %,0.2836,4,158,162
295,296,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,40 %,0.3284,3,141,144
296,297,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1515,47 %,0.2537,1,98,99
297,298,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1515,47 %,0.2239,0,64,64
298,299,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,46 %,0.2985,0,40,40
299,300,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,46 %,0.3284,0,30,30
300,301,13-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1364,50 %,0.194,1,14,15
301,302,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1364,50 %,0.194,0,14,14
302,303,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1212,54 %,0.1642,0,5,5
303,304,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1212,54 %,0.1343,0,1,1
304,305,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1364,54 %,0.1045,0,1,1
305,306,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1364,54 %,0.0896,0,8,8
306,307,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1818,54 %,0.0,0,17,17
307,308,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 10 degree celsius,0.1212,74 %,0.1642,0,70,70
308,309,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1667,68 %,0.0,2,156,158
309,310,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,69 %,0.1343,0,117,117
310,311,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1818,55 %,0.194,4,40,44
311,312,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1667,51 %,0.2836,6,47,53
312,313,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.197,44 %,0.2537,2,59,61
313,314,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,37 %,0.3881,4,73,77
314,315,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,41 %,0.2836,5,59,64
315,316,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2424,38 %,0.1642,9,59,68
316,317,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2424,41 %,0.1045,3,87,90
317,318,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,41 %,0.1642,4,155,159
318,319,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,47 %,0.0,5,134,139
320,321,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.2424,59 %,0.0,0,68,68
321,322,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.2273,69 %,0.0,4,48,52
322,323,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.2273,69 %,0.0,2,34,36
323,324,14-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.2424,55 %,0.0,1,26,27
324,325,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.2424,55 %,0.0,3,25,28
325,326,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.197,59 %,0.0896,2,18,20
326,327,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.197,59 %,0.0896,0,12,12
327,328,15-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.2273,59 %,0.0,1,7,8
329,330,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.2273,59 %,0.0,0,1,1
330,331,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1667,63 %,0.1045,1,2,3
331,332,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.2121,63 %,0.0,1,9,10
332,333,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,63 %,0.1343,1,22,23
333,334,15-01-2011,Spring,Not a Holiday,Working day,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1818,64 %,0.1343,2,31,33
